station_id,n_blocking,n_sessions,blocking_rate
1-1-191-785,79,110,0.7181818181818181
1-1-191-789,84,118,0.711864406779661
1-1-191-792,73,107,0.6822429906542056
1-1-191-812,71,111,0.6396396396396397
1-1-191-807,70,114,0.6140350877192983
1-1-191-784,64,111,0.5765765765765766
1-1-191-786,62,110,0.5636363636363636
1-1-191-805,63,112,0.5625
1-1-179-809,72,128,0.5625
1-1-179-781,70,125,0.56
1-1-191-793,61,111,0.5495495495495496
1-1-179-788,68,124,0.5483870967741935
1-1-191-782,64,118,0.5423728813559322
1-1-179-787,71,133,0.5338345864661654
1-1-191-780,58,110,0.5272727272727272
1-1-179-791,63,120,0.525
1-1-179-797,64,122,0.5245901639344263
1-1-179-815,68,130,0.5230769230769231
1-1-191-802,60,117,0.5128205128205128
1-1-179-798,68,135,0.5037037037037037
1-1-191-804,57,114,0.5
1-1-191-811,60,120,0.5
1-1-193-820,102,207,0.4927536231884058
1-1-178-828,98,200,0.49
1-1-191-803,52,107,0.48598130841121495
1-1-179-794,61,127,0.48031496062992124
1-1-191-795,56,120,0.4666666666666667
1-1-178-817,78,168,0.4642857142857143
1-1-179-783,57,124,0.4596774193548387
1-1-191-806,51,112,0.45535714285714285
1-1-179-777,60,133,0.45112781954887216
1-1-178-823,116,260,0.4461538461538462
1-1-193-825,73,164,0.4451219512195122
1-1-193-819,94,212,0.44339622641509435
1-1-179-796,54,122,0.4426229508196721
1-1-191-808,56,128,0.4375
1-1-179-810,64,148,0.43243243243243246
1-1-193-829,84,196,0.42857142857142855
1-1-178-824,71,167,0.4251497005988024
1-1-191-778,53,125,0.424
1-1-179-813,51,124,0.4112903225806452
1-1-179-800,60,146,0.410958904109589
1-1-179-790,52,128,0.40625
1-1-179-799,57,141,0.40425531914893614
1-1-179-801,54,134,0.40298507462686567
1-1-193-816,62,156,0.3974358974358974
1-1-194-821,84,216,0.3888888888888889
1-1-193-827,75,196,0.3826530612244898
1-1-194-818,64,173,0.3699421965317919
1-1-194-826,61,165,0.3696969696969697
1-1-179-779,46,126,0.36507936507936506
1-1-194-822,62,174,0.3563218390804598
