station_id,total_idle_h,mean_idle_h,n_sessions,n_ge_2h,n_ge_6h
1-1-191-789,714.81,7.77,92,84,79
1-1-191-785,615.04,7.15,86,79,72
1-1-178-823,551.95,2.62,211,116,14
1-1-178-828,513.95,2.95,174,98,28
1-1-193-820,509.9,3.02,169,102,24
1-1-191-792,457.52,5.38,85,73,40
1-1-179-781,438.36,4.3,102,70,38
1-1-179-810,434.6,3.68,118,64,37
1-1-193-819,427.27,2.46,174,94,12
1-1-191-812,426.31,4.9,87,71,36
1-1-191-782,423.33,4.46,95,64,36
1-1-179-809,420.22,4.29,98,72,30
1-1-178-824,419.6,3.13,134,71,29
1-1-178-817,415.76,2.93,142,78,28
1-1-179-798,413.97,3.73,111,68,26
1-1-193-827,413.17,2.5,165,75,18
1-1-194-821,403.24,2.17,186,84,10
1-1-193-825,402.62,2.94,137,73,19
1-1-193-829,398.43,2.36,169,84,14
1-1-191-802,391.77,4.26,92,60,35
1-1-179-815,389.33,3.67,106,68,28
1-1-191-807,386.53,4.2,92,70,26
1-1-179-791,384.78,4.09,94,63,32
1-1-191-805,381.82,4.2,91,63,29
1-1-179-787,380.9,3.7,103,71,18
1-1-179-797,379.11,3.79,100,64,27
1-1-179-788,374.44,3.86,97,68,26
1-1-191-784,366.87,4.22,87,64,31
1-1-191-795,352.67,3.71,95,56,24
1-1-179-800,347.97,2.92,119,60,23
1-1-191-780,347.69,3.74,93,58,26
1-1-194-826,346.68,2.63,132,61,20
1-1-193-816,343.38,2.66,129,62,15
1-1-191-778,339.22,3.46,98,53,20
1-1-194-818,337.88,2.4,141,64,16
1-1-179-783,337.29,3.41,99,57,25
1-1-179-777,331.83,3.13,106,60,24
1-1-179-794,331.58,3.28,101,61,21
1-1-194-822,329.29,2.34,141,62,16
1-1-191-786,328.92,3.58,92,62,19
1-1-191-804,328.26,3.46,95,57,20
1-1-179-801,322.55,3.19,101,54,12
1-1-191-793,319.92,3.55,90,61,21
1-1-191-803,319.4,3.55,90,52,25
1-1-191-808,317.89,3.0,106,56,18
1-1-179-796,317.33,3.41,93,54,22
1-1-191-811,314.5,3.24,97,60,24
1-1-179-779,288.78,2.83,102,46,15
1-1-179-799,286.98,2.61,110,57,15
1-1-179-813,278.48,2.65,105,51,14
1-1-191-806,277.97,2.99,93,51,16
1-1-179-790,275.05,2.87,96,52,16
